Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
UNIFIN/A,Vender,24826,18.290001,18.3115003,18.4304001,20.08903609,18.6488593,17.9741413,-0.04192563,-0.03934417,49.8058916
KO,Fuerte Venta,189,1059.01,1072.162995,1073.519998,1070.69584815,1101.28016112,1043.04582888,-4.84987208,-2.84715278,45.96040598
GCC,Fuerte Compra,560979,107.29,105.19950005,102.70480024,91.55714979,110.76589713,99.63310297,1.76977402,1.69291101,61.96294927
AA1,Fuerte Compra,12096,287.14001,267.3160005,292.2326,294.7193496,286.54922781,248.08277319,-3.00263367,-6.31439386,54.87147913
SBUX,Comprar,111,1874,1895.5645,1846.075794,1723.7638495,1937.60530945,1853.52369055,8.06969095,15.8384444,50.17933666
FCFE/18,Vender,38338,25.25,25.5109999,25.38659998,24.23484999,26.03107346,24.99092634,-0.01111189,0.02398189,46.60937745
FNOVA/17,Fuerte Venta,142,18.450001,18.5765,18.7827998,,18.68162353,18.47137647,-0.08566035,-0.08203104,26.67612461
FEMSA/UBD,Fuerte Venta,3636169,118.7,122.827,123.9406002,145.1457505,128.92232641,116.73167359,-1.1330234,-0.54251473,39.30134309
AMD,Vender,3048,1678.1,1784.656505,1779.4704,1332.9581009,1891.71749081,1677.59551919,-10.91092251,5.43661917,41.13364747
TRAXION/A,Comprar,758142,16.43,16.49150015,16.08480004,14.3272,16.87710462,16.10589568,0.10912909,0.16638731,52.24730414
GMEXICO/B,Fuerte Compra,13944036,61.880001,57.4690001,58.00559992,52.69325016,62.15811497,52.77988523,0.99264172,0.41186196,68.72939669
AJG,Fuerte Compra,90,2281.23,2194.79401,1915.081604,,2528.78912295,1860.79889705,121.01310279,132.94801623,71.00476106
LALA/B,Fuerte Compra,2786604,13.89,13.2535,13.205,13.14010002,13.83794076,12.66905924,0.15815856,0.08920589,63.55544687
ASUR/B,Fuerte Compra,378289,255.64,247.8485005,246.3319994,268.63645085,259.58562765,236.11137335,1.31036315,0.58977786,59.412391
DHR,Fuerte Compra,740,4795,4663.406445,4520.524376,3225.2376005,4974.62711759,4352.18577241,100.73366219,97.83831421,64.4664882
DXCM,Fuerte Venta,24,8330,8442.655905,9050.891578,,8873.9746585,8011.3371515,-184.31671655,-206.04175992,41.60985553
