Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
AMX/L,Fuerte Venta,36106233,13.56,14.0805,14.4548,14.89949999,14.55283357,13.60816643,-0.20567244,-0.15472862,33.26880255
CEMEX/CPO,Fuerte Compra,19267038,7.56,7.446,6.803,6.36925,7.92334264,6.96865736,0.2667983,0.29428376,60.10073283
WALMEX,Fuerte Venta,11299802,54.84,55.9570001,55.59140012,55.84854993,58.87155054,53.04244966,0.23197687,0.39092145,42.44100842
FUNO/11,Fuerte Venta,8448890,17.530001,18.20399985,18.10859996,23.54769997,19.27027189,17.13772781,-0.14358068,-0.03546352,41.07538897
GMEXICO/B,Vender,6372348,57.52,58.95299995,56.76480036,51.72300025,61.65757468,56.24842522,0.47395584,0.80866199,47.06123761
ALFA/A,Fuerte Compra,6041622,14.41,14.4405,13.0704,12.79345001,15.69782215,13.18317785,0.45632693,0.52794581,56.95963459
FSHOP/13,Vender,5986021,5.9,5.84890405,5.96208898,7.93886021,6.13836318,5.55944492,-0.00412058,-0.02236609,49.39111678
GENTERA,Fuerte Venta,4792653,7.15,7.5205,8.95680002,13.82910002,7.88002608,7.16097392,-0.38413732,-0.43633365,27.31166673
GFNORTE/O,Fuerte Venta,4677545,78.370003,80.3864999,80.34759986,88.73949992,84.69964893,76.07335087,-0.09115145,0.40091337,44.00716502
BBAJIO/O,Fuerte Venta,4213931,17,17.656,18.43500018,24.21115006,18.57317863,16.73882137,-0.27621598,-0.23660046,37.46890785
KIMBER/A,Vender,3925408,35.990002,36.73699995,35.61280006,36.47775008,37.93337886,35.54062104,0.40471752,0.53016669,46.47145304
AXTEL/CPO,Fuerte Compra,3098953,6.89,6.5515,5.36,3.77055,7.11588551,5.98711449,0.40703583,0.46120636,69.98443321
GFINBUR/O,Comprar,2727511,16.93,16.66450005,16.31180002,19.03360005,17.93095146,15.39804864,0.28173808,0.28529455,55.18783969
BIMBO/A,Fuerte Compra,2682997,43.029999,42.203,39.98140004,35.3852501,44.99953493,39.40646507,1.07820641,1.16389413,56.32405399
FEMSA/UBD,Fuerte Venta,2616259,128.59,131.2625005,135.0908014,156.20635055,136.57468163,125.95031937,-1.97681126,-1.81707527,40.95385889
ARA,Fuerte Venta,2521339,2.74,2.8385,2.7384,3.3249,3.07643066,2.60056934,0.04364735,0.05445774,44.49044026
TLEVISA/CPO,Vender,1727240,27.34,28.6449999,26.05559994,32.83755002,31.83636634,25.45363346,0.41798906,0.82788982,48.24536442
ALSEA,Fuerte Compra,1562290,22.610001,21.39750005,21.99720006,32.05999998,23.01769603,19.77730407,0.16342133,0.00029116,58.50552223
ALPEK/A,Fuerte Venta,1496746,16.26,17.6105,17.57819994,16.26484997,18.87994849,16.34105151,-0.27398693,-0.0454501,29.58612389
BSMX/B,Fuerte Venta,1430522,14.23,15.14600005,15.57359998,19.77625001,16.31966796,13.97233214,-0.22979283,-0.10438734,38.18047892
ORBIA,Comprar,1426334,36.880001,37.09700005,35.32100004,36.69299997,38.62062878,35.57337132,0.47320489,0.68853161,52.61373228
LAB/B,Vender,1416980,23,23.35100005,22.72499992,20.24364999,23.78619665,22.91580345,0.15324935,0.25293469,48.41066858
TRAXION/A,Fuerte Compra,1363100,15.73,15.725,14.8056,13.90339999,15.81955157,15.63044843,0.2654638,0.33697405,62.52787936
R/A,Fuerte Venta,1304941,53.959999,56.73199935,59.0803997,80.3227499,59.22326068,54.24073802,-1.11924984,-1.01242987,37.4420955
BOLSA/A,Vender,1253325,45.709999,47.4264999,45.23179996,42.51974996,51.1620015,43.6909983,0.13895825,0.51370555,46.98924916
AC,Vender,1104136,104.83,106.1845,103.76240014,102.41305016,108.95931873,103.40968127,0.49536818,0.88807596,48.13343062
AEROMEX,Fuerte Venta,1021653,5.08,5.3195,5.2138,10.09845,6.04042926,4.59857074,0.05188511,0.07602106,42.67036759
NEMAK/A,Fuerte Compra,990209,6.51,6.015,5.3758,6.05190001,6.71718231,5.31281769,0.31994864,0.27806669,68.0205363
HERDEZ,Fuerte Compra,885789,38.639999,37.8185001,35.21419974,34.87699991,41.52642833,34.11057187,1.15806014,1.23635839,59.00061956
DANHOS/13,Fuerte Venta,827012,20.24,21.50099985,21.66239996,23.89095003,22.88122999,20.12076971,-0.20035111,-0.00777412,39.11980319
AZTECA/CPO,Vender,817455,0.34,0.34315,0.33796,0.530895,0.36656175,0.31973825,-0.00064337,-0.00016529,49.61054003
FIBRAMQ/12,Comprar,804743,25.43,25.4790001,24.75459998,24.19415002,25.97344543,24.98455477,0.20520905,0.26454199,52.47673786
GAP/B,Comprar,795990,166.46001,165.528,158.4082012,180.45145015,186.41917752,144.63682248,3.95882139,4.71610745,52.863959
IENOVA,Fuerte Venta,793469,65.620003,66.0855004,65.35800052,74.98135023,68.64651869,63.52448211,0.1073452,0.279762,49.52653535
GRUMA/B,Fuerte Compra,790357,271.16,268.042498,254.1247986,217.7101994,279.22541908,256.85957692,5.81193517,6.47865973,56.9348864
VESTA,Vender,785184,32.779999,32.9374998,33.43859986,32.3988499,33.52479458,32.35020502,-0.09327485,-0.10239564,47.51300609
NCLH/N,Fuerte Compra,759348,371.73001,336.0745005,346.3921996,586.49339915,378.94170907,293.20729193,5.64677109,0.87282853,58.5504604
CHDRAUI/B,Fuerte Venta,668606,26.559999,26.75899995,26.40039996,26.43324998,27.80875959,25.70924031,0.24218795,0.24018113,47.74265136
FIBRAPL/14,Vender,652731,43.619999,44.04799945,42.97159992,40.87734078,45.1395224,42.9564765,0.39401303,0.51880168,48.85110888
VOLAR/A,Fuerte Compra,504757,17.299999,15.21050005,13.22720002,15.62579998,18.58969812,11.83130198,1.32341989,1.13673915,71.26033287
CUERVO,Vender,492182,40.98,42.72749985,42.84499984,36.54230002,45.61651305,39.83848665,-0.53636729,-0.23489102,43.34727278
UAL,Fuerte Compra,486382,800.53998,770.410501,761.8909974,1078.71495,842.82083833,698.00016367,5.12316808,4.91663458,55.04910048
Q,Fuerte Venta,450945,85.389999,90.3575001,90.33020022,85.18940021,95.64943687,85.06556333,-1.15588461,-0.48836777,37.05002617
MEGA/CPO,Fuerte Venta,448786,67.459999,67.56999935,68.43439956,68.96794992,69.96923118,65.17076752,-0.08705495,-0.05483449,46.71898414
KOF/UBL,Neutral,437032,95.57,94.87350025,96.16660038,104.13720009,98.29420936,91.45279114,0.15678545,0.10056173,51.24752981
OMA/B,Fuerte Venta,431085,98.769997,99.5544998,100.1063999,112.88260026,110.09301687,89.01598273,0.35116504,0.72891947,48.51708698
GFAMSA/A,Fuerte Venta,405576,0.462,0.59255,0.8382,2.6008,0.76728348,0.41781652,-0.10074025,-0.11045589,25.35047266
TERRA/13,Vender,382275,27.82,28.15400005,27.64639996,28.228,28.54440505,27.76359505,0.14729546,0.21280731,46.61742183
LIVEPOL/C-1,Fuerte Compra,367176,58.130001,55.6970002,55.84940014,74.25534993,58.94879486,52.44520554,0.49929566,0.23878433,58.96495549
GCARSO/A1,Fuerte Venta,348333,45.049999,45.2079998,44.93939982,55.91264991,48.00948903,42.40651057,0.12723064,0.23459589,48.83974429
ICH/B,Fuerte Venta,340519,81.239998,84.6984999,85.53079978,86.94339973,89.37041813,80.02658167,-1.11510809,-0.63662069,35.36625674
PINFRA,Fuerte Venta,314394,162.89,168.4615,164.855201,177.0551502,176.6465727,160.2764273,0.69305873,1.53715249,45.68663882
SITES/B-1,Comprar,279896,16.99,17.23300005,16.3596,14.88785,18.48682793,15.97917217,0.19735095,0.34805502,49.72790386
PE_OLES,Fuerte Compra,276146,357.16,361.834,297.6793994,220.5922494,395.49049037,328.17750963,14.32902543,20.98221455,57.57771921
AGUA,Fuerte Compra,259144,16.139999,15.7500001,15.02340004,14.85268399,16.6577888,14.8422114,0.39367307,0.40034266,62.74332197
HCITY,Fuerte Venta,225662,5.67,5.9635,6.61340002,9.88135001,6.41923128,5.50776872,-0.16146577,-0.16724303,35.62558914
CREAL,Comprar,221636,12.56,11.9945,12.2938,17.13035008,12.92711943,11.06188057,-0.10091236,-0.19779336,56.91584679
ASUR/B,Comprar,202582,250.31,241.4864995,241.4544004,287.8384512,266.8590401,216.1139589,3.71166212,3.01101628,55.2898307
BACHOCO/B,Comprar,154352,68.010002,67.8170001,67.39459978,71.13874987,69.94445854,65.68954166,0.25502019,0.27723258,51.30482662
HOMEX,Fuerte Venta,145863,0.046,0.0483,0.04822,0.059655,0.05193868,0.04466132,-0.00065172,-0.00038135,40.5339848
GMXT,Fuerte Compra,129059,28.469999,27.9434999,26.23699984,25.34549989,29.47584787,26.41115193,0.69919584,0.75665771,59.33423909
NIO/N,Fuerte Compra,106866,440.14999,322.811499,275.8163996,,414.91873167,230.70426633,35.41182688,23.04232566,77.10486143
LALA/B,Comprar,100131,13.75,13.456,12.5536,14.01255002,14.7804984,12.1315016,0.43652124,0.46280786,61.19237176
INTC,Vender,95743,1099.2,1085.762505,1212.846402,1236.138899,1112.32106599,1059.20394401,-33.35724768,-43.95780883,43.33795383
LACOMER/UBC,Vender,90796,34.310001,35.28199985,33.81479994,26.53089986,36.14780786,34.41619184,0.31480907,0.57258639,46.51670459
GCC,Vender,86470,100.54,104.6445,100.11099988,91.45609971,108.97267502,100.31632498,0.52896958,1.48068819,44.63654446
FIHO/12,Comprar,85322,4.6,4.444,4.4236,6.25990001,4.73108187,4.15691813,0.07598193,0.05534941,59.62570748
AAL,Fuerte Compra,84278,293.76999,283.380499,280.9302002,378.1044005,316.30912002,250.45187798,2.21523779,1.71005275,54.72612512
SPLK,Fuerte Compra,74547,4750.98,4326.484,3541.506996,,5048.61433263,3604.35366737,338.30029093,369.38338213,67.29650601
ELEKTRA,Fuerte Venta,73939,1192.6899,1193.26049,1217.50579,1333.151696,1207.06239111,1179.45858889,-4.95576589,-8.27506411,44.30788374
FCX,Fuerte Compra,68608,333,314.5890015,292.979602,231.4347504,339.56962322,289.60837978,9.88694713,9.88606339,64.13139054
AUTLAN/B,Fuerte Compra,56975,10.79,10.3615,8.6716,8.33290001,11.41882256,9.30417744,0.57486089,0.65397729,69.14212655
ZM,Fuerte Compra,54095,6440,5961.92051,5845.547594,,6722.59680935,5201.24421065,205.48907765,138.41833687,62.21260433
FRAGUA/B,Fuerte Venta,49612,218.5,220.289001,217.5019996,225.20445015,228.39865244,212.17934956,0.29441855,0.97776755,47.27403531
MFRISCO/A-1,Neutral,46146,3.64,3.8245,3.5028,2.9798,4.13333491,3.51566509,0.0247711,0.07450522,47.76972085
CVS,Fuerte Venta,42709,1397,1431.132,1435.881598,1402.717798,1491.10654447,1371.15745553,-12.05025859,-5.89781554,43.5388111
APA,Vender,41717,322.98999,339.6570005,319.4140014,494.1265008,373.1743302,306.1396708,-0.77824588,3.61028104,48.33249015
C,Comprar,41652,1149.87,1144.67251,1150.490402,1241.2878505,1205.93174486,1083.41327514,-6.90072892,-5.00973502,51.64258333
SORIANA/B,Fuerte Venta,41217,15.4,16.399,17.26460004,20.21965004,17.43088968,15.36711032,-0.47544325,-0.38535224,27.18071074
FMTY/14,Neutral,40133,9.98,10.0155,9.8808,10.72420001,10.15326429,9.87773571,0.03035374,0.04372515,50.98053327
FINN/13,Fuerte Venta,39900,4.9,4.9535,5.148,6.2206,5.10400249,4.80299751,-0.06193239,-0.06782589,44.22164384
LYV,Fuerte Compra,33548,1153.88,1078.10851,1067.6162068,,1201.6807556,954.5362644,22.00908151,8.29195988,55.95628037
DAL,Fuerte Compra,33228,684.65997,622.8854945,616.5070022,797.19675155,690.3466348,555.4243542,13.93459908,7.57614323,65.30609205
UTSI,Fuerte Venta,32309,31.5,36.2264998,39.36539992,53.73985001,40.74812469,31.70487491,-2.10860687,-1.84519417,33.60764879
MSFT,Fuerte Compra,31824,5055.7798,4723.496505,4659.763392,3810.4893025,4962.66154847,4484.33146153,61.25174355,33.89307367,67.74611359
OPK,Fuerte Venta,31616,74.489998,111.1389999,98.80380038,109.51345,135.86964951,86.40835029,-3.56605256,1.81116365,30.07012518
UNIFIN/A,Vender,29840,18.24,18.55286915,18.0114067,22.28730041,19.57657723,17.52916107,0.11845742,0.25084642,48.35083571
INO,Fuerte Venta,28863,263,357.8074985,462.5603988,,509.01878973,206.59620727,-53.56520591,-47.04540685,30.59393018
MU,Fuerte Venta,28819,990.47998,1040.3300065,1095.0556026,1050.9430994,1178.31186748,902.34814552,-39.22862004,-36.05679049,39.66704308
BAC,Fuerte Compra,27750,579.96002,572.6380025,553.1962006,581.3660997,601.97339292,543.30261208,3.57979991,5.09610628,56.35895628
GICSA/B,Fuerte Venta,26874,3.12,3.2305,3.3234,4.7597,3.37311487,3.08788513,-0.03589049,-0.02286673,41.3576697
PINFRA/L,Fuerte Compra,25724,118,114.5055,109.445,123.35920005,123.60785239,105.40314761,2.93499698,2.86755541,62.75444512
ELEMENT,Fuerte Compra,23758,8.9,7.7555001,6.88400004,8.23790001,9.59201299,5.91898721,0.62144212,0.5376931,88.92623196
BRKB,Fuerte Compra,23667,4820.6699,4630.554475,4349.781378,4275.2816935,4853.80722772,4407.30172228,97.97883675,99.26857856,68.64103038
NFLX,Fuerte Compra,23291,11696.62,11007.436,10988.0902,8623.957904,11790.9720681,10223.8999319,105.3562293,15.50140364,60.35153997
STZ,Fuerte Compra,22064,4030,3924.859995,3983.596398,3718.029898,4065.80822116,3783.91176884,-11.03670859,-23.34320919,55.32912353
NKLA,Vender,21483,866,871.6795,,,1069.60768229,673.75131771,-45.02021004,-59.85064361,43.06891504
BYND,Fuerte Compra,19863,2940,2850.613,2981.583796,2320.8069465,3100.27655763,2600.94944237,-42.4008434,-55.0028722,55.08538769
RCL,Fuerte Compra,19116,1470,1278.398995,1196.303794,1496.22614995,1514.23089087,1042.56709913,68.79294971,53.88800468,70.67722873
MEDICA/B,Fuerte Compra,18506,18.200001,16.5525,15.4346,17.54160005,18.48916606,14.61583394,0.69646363,0.6111647,79.35621088
WYNN,Fuerte Compra,16549,1924.77,1801.1825,1762.313004,2030.2655495,2021.51309133,1580.85190867,35.85009351,24.93233605,57.95580454
HTZ,Fuerte Venta,14645,32.889999,33.63149985,33.67120008,183.42884971,36.37539651,30.88760319,-0.95901989,-0.97158524,46.59774223
PAPPEL,Fuerte Venta,13607,15.88,16.35299995,16.31119994,17.78995001,17.11542002,15.59057988,-0.1055609,-0.0353129,44.10566606
DEO/N,Fuerte Venta,12500,3057.6899,3060.791985,3154.694994,3062.240647,3188.00196809,2933.58200191,-21.78393454,-26.83434907,47.67721219
MGM,Fuerte Compra,11225,506.91,449.563,404.3662,456.68084945,540.45160998,358.67439002,27.02118024,24.2923089,70.16144736
TWTR,Fuerte Compra,10618,900,849.412,801.3096032,688.89705155,902.16273243,796.66126757,24.25351422,20.28256951,69.68060653
GGA/N,Fuerte Venta,10035,1.39,2.145,1.792,1.1639,3.44662206,0.84337794,-0.2058607,-0.07677952,41.13303835
MDT/N,Fuerte Compra,10000,2370,2215.052495,2195.031196,1976.5012515,2343.25903161,2086.84595839,34.48215376,18.43800309,62.43719825
WMT,Fuerte Compra,9699,3028.22,2928.431505,2875.084802,2606.8723,3026.20128282,2830.66172718,10.11090677,12.98508629,60.5740636
ADBE,Fuerte Compra,9344,11288,10239.626485,10010.424624,7732.4285565,11151.65969909,9327.59327091,318.00450741,187.04247905,70.56255496
SBUX,Fuerte Compra,8796,1851.99,1740.0225,1703.064802,1681.256901,1828.87019009,1651.17480991,25.98573366,15.5783664,67.39829735
SQ,Fuerte Compra,8569,3457.6699,3263.63401,2877.380202,1773.65030105,3591.16284486,2936.10517514,167.81707086,175.09879211,64.19402275
PFE,Comprar,8161,840.78998,853.0954975,816.2545998,780.28305075,872.66896443,833.52203057,4.45983665,8.49506255,49.40967384
DIS,Fuerte Compra,7999,2977.52,2845.169505,2698.7156,2627.945396,3045.81306171,2644.52594829,59.17575839,58.07129192,67.41699381
