Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
AMX/L,Fuerte Venta,138701318,13.29,14.028,14.387,14.88254999,14.61739291,13.43860709,-0.23659099,-0.17843798,32.64727783
CEMEX/CPO,Vender,66988819,7.02,7.4735,6.8346,6.37035,7.85951943,7.08748057,0.17675147,0.2611168,43.51759494
ALFA/A,Comprar,45104169,14.07,14.491,13.1138,12.76875001,15.01878405,13.96321595,0.37292069,0.4803653,52.41928864
FUNO/11,Fuerte Venta,28364838,17.08,18.12849975,18.03319996,23.42744996,19.34625644,16.91074306,-0.21836384,-0.09408143,35.19534141
WALMEX,Fuerte Venta,27991067,52.529999,55.99350005,55.53660008,55.83754992,58.77647195,53.21052815,-0.22082594,0.2155329,32.44048007
GFNORTE/O,Fuerte Venta,15533803,75.669998,80.0774997,80.05859978,88.49744992,84.92334774,75.23165166,-0.5515153,0.1090523,37.1066855
TLEVISA/CPO,Fuerte Venta,13553897,27.02,28.8684999,26.11819996,32.67785003,31.30397335,26.43302645,0.26515063,0.6429426,46.48109253
GMEXICO/B,Comprar,13290979,58.400002,59.14950005,56.98840036,51.78280024,61.37880912,56.92019098,0.37371625,0.66207784,50.42776925
FEMSA/UBD,Fuerte Venta,9489285,127.36,130.4485005,134.3120014,155.70990055,134.93724727,125.95975373,-1.98257779,-1.86842069,38.47982555
CUERVO,Comprar,8147364,41.810001,42.40999985,42.7873998,36.62335003,45.0812771,39.7387226,-0.48761022,-0.33464644,48.1055233
KIMBER/A,Fuerte Venta,7720748,35.16,36.64900005,35.64520014,36.45385009,38.07904678,35.21895332,0.13984203,0.41206015,40.50286439
GFINBUR/O,Fuerte Venta,6985695,16.01,16.72800005,16.26840002,18.95420004,17.92286579,15.53313431,0.16944456,0.25869299,40.70973015
BIMBO/A,Vender,5504410,40.419998,42.25349995,40.10219998,35.43850008,44.97331906,39.53368084,0.68120165,1.0300737,44.95808756
GENTERA,Fuerte Venta,4473562,7.18,7.4835,8.81160002,13.71085001,7.86198514,7.10501486,-0.37130007,-0.4133474,30.94809313
IENOVA,Fuerte Venta,3782989,64.089996,65.9340001,65.35020036,74.79630018,68.65964419,63.20835601,-0.09132412,0.1679096,43.92780353
ORBIA,Fuerte Venta,3502697,35.16,37.09350005,35.35540008,36.62354998,38.63621567,35.55078443,0.23621178,0.55285993,42.88261443
LALA/B,Comprar,3417367,13.83,13.633,12.5996,13.96345001,14.63525945,12.63074055,0.40073967,0.44441518,60.93172827
KOF/UBL,Fuerte Venta,3163119,91.800003,95.04600025,95.69040038,103.95960009,98.07703502,92.01496548,-0.18312043,0.0444764,39.32923946
AXTEL/CPO,Fuerte Compra,3118686,6.99,6.6575,5.4798,3.81035,7.07357091,6.24142909,0.39201563,0.43761953,71.74465122
AC,Fuerte Venta,3037086,99.830002,105.5740001,103.83440018,102.37155017,109.05859066,102.08940954,-0.13292873,0.59910717,33.69145011
ALPEK/A,Fuerte Venta,2544589,16.389999,17.4979999,17.55399992,16.22379996,18.97760302,16.01839678,-0.34547774,-0.1493345,32.82657528
ARA,Fuerte Venta,2542707,2.73,2.849,2.7482,3.3157,3.07007917,2.62792083,0.02408092,0.04579529,44.82788964
HOMEX,Fuerte Venta,2278469,0.046,0.0478,0.04804,0.059335,0.05112265,0.04447735,-0.00069892,-0.00049306,40.5339848
LAB/B,Neutral,2251687,22.959999,23.29850005,22.84779996,20.26974998,23.78253631,22.81446379,0.08560465,0.1974971,47.86700264
DANHOS/13,Fuerte Venta,2127835,20.59,21.4494999,21.57479998,23.81075003,22.90856053,19.99043927,-0.25356865,-0.09275647,42.95488445
VESTA,Vender,1898065,32.700001,32.8669998,33.32979988,32.39709991,33.33757819,32.39642141,-0.09736243,-0.09981852,46.37397311
SITES/B-1,Vender,1820156,16.52,17.24600005,16.442,14.9249,18.49184769,16.00015241,0.10372857,0.2709325,44.50483225
OMA/B,Vender,1731706,99.959999,100.47049975,100.03619988,112.57035026,109.69655545,91.24444405,0.41577396,0.62695382,50.16281199
AEROMEX,Fuerte Venta,1727099,4.77,5.32,5.142,9.99585,6.04437559,4.59562441,-0.02693478,0.0463776,35.94690091
BSMX/B,Fuerte Venta,1708890,13.97,15.09900005,15.4598,19.66900001,16.39027708,13.80772302,-0.31377889,-0.17292558,35.5743039
BBAJIO/O,Fuerte Venta,1696720,17.5,17.68550005,18.26620016,24.08215007,18.54885368,16.82214642,-0.25945156,-0.24779226,45.58503722
GCARSO/A1,Fuerte Venta,1615762,43.209999,45.3354997,44.81099978,55.67924989,48.09829132,42.57270808,-0.0004995,0.18175674,41.08047061
MEGA/CPO,Fuerte Venta,1565547,62.990002,67.4464993,68.35119958,68.82634991,70.47497763,64.41802097,-0.54156418,-0.17123695,30.15770941
FIBRAMQ/12,Comprar,1537484,25.43,25.4960002,24.81659998,24.18360001,25.97191648,25.02008392,0.18353759,0.23897496,51.87512774
NEMAK/A,Fuerte Compra,1494277,6.4,6.1195,5.441,6.02120001,6.65676995,5.58223005,0.29372166,0.2850677,62.68999623
GRUMA/B,Vender,1469069,258.81,267.9394985,254.8713988,218.3135995,279.4500669,256.4289301,3.89406901,5.75097743,45.33438919
GAP/B,Fuerte Compra,1418092,170.17999,167.7704995,158.7692012,180.1287001,185.3979339,150.1430651,3.80087768,4.41143201,55.82825089
PINFRA,Fuerte Venta,1384274,162.67999,168.3369995,164.8636006,176.84995015,176.75766638,159.91633262,-0.02301805,1.03663819,45.60723851
R/A,Fuerte Venta,1355875,54.57,56.4289994,58.53679978,79.85079991,59.2853804,53.5726184,-1.20704988,-1.08198971,40.45008868
TERRA/13,Fuerte Compra,1263020,28.280001,28.20400015,27.67180002,28.19885,28.48331379,27.92468651,0.14385526,0.18844797,54.50547474
Q,Fuerte Venta,1136197,86.040001,90.00850005,90.16660022,85.23895023,95.81230674,84.20469336,-1.3154518,-0.77063787,40.05876213
BOLSA/A,Neutral,1064754,46.099998,47.49499985,45.35459994,42.56434996,51.09370822,43.89629148,0.0854768,0.36607938,48.87681224
ALSEA,Comprar,1023503,22.629999,21.55349995,21.98240002,31.75919997,23.35265807,19.75434183,0.25738419,0.08883944,57.38420254
HERDEZ,Comprar,1018878,37.349998,38.2149999,35.36679968,34.8686499,41.05740391,35.37259589,0.94764139,1.1595883,50.50417228
