Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
AMX/L,Fuerte Venta,47647007,13.2,13.9155,14.2838,14.85389999,14.68521358,13.14578642,-0.28590376,-0.22331886,32.73812374
CEMEX/CPO,Vender,32088721,6.86,7.4445,6.8776,6.37,7.92497789,6.96402211,0.06082973,0.18168817,40.69765731
FUNO/11,Fuerte Venta,17946133,16.639999,17.92699975,17.87839996,23.24889995,19.35454471,16.49945479,-0.30793723,-0.17910949,32.85811754
WALMEX,Fuerte Venta,12041975,52.369999,55.7275001,55.38980008,55.80794993,59.26871961,52.18628059,-0.70465534,-0.17033047,33.59609352
GMEXICO/B,Comprar,7742777,59.009998,59.06199995,57.41940024,51.89110022,60.67708647,57.44691343,0.49354146,0.58464392,51.59893172
GFNORTE/O,Fuerte Venta,6887349,73.91,79.6649996,79.66059984,88.11824994,85.59972367,73.73027553,-1.24117907,-0.43511793,35.05262285
HOMEX,Fuerte Venta,6310061,0.044,0.047,0.04774,0.05889,0.05034664,0.04365336,-0.00095608,-0.00067851,31.56969497
ALFA/A,Comprar,4812720,14.09,14.4325,13.2014,12.74755001,14.89776874,13.96723126,0.31915212,0.41702636,51.17540848
FEMSA/UBD,Fuerte Venta,3980665,123.61,129.7480005,133.227201,154.9317505,135.45896744,124.03703356,-2.32285291,-2.00673298,31.47583482
GENTERA,Fuerte Venta,3932905,7.01,7.4455,8.56520002,13.53460002,7.90738635,6.98361365,-0.35707242,-0.38427947,31.69027923
BBAJIO/O,Fuerte Venta,3653968,15.72,17.5435,18.00560012,23.87160006,18.78904079,16.29795921,-0.41642475,-0.29418943,28.93637765
KIMBER/A,Fuerte Venta,3492041,35.959999,36.7035001,35.75360018,36.43360009,38.13390178,35.27309842,0.13373617,0.28915552,47.48159339
ARA,Fuerte Venta,2929115,2.72,2.839,2.7568,3.30145,3.06894782,2.60905218,0.0038159,0.0284139,44.97337943
TLEVISA/CPO,Fuerte Venta,2836707,27.01,28.5924999,26.25459998,32.42875004,31.27120756,25.91379224,0.07333818,0.39281306,46.50273249
VESTA,Fuerte Venta,2653014,32.509998,32.79549985,33.21299988,32.39269992,33.14309038,32.44790932,-0.10633032,-0.09730824,43.83488332
HCITY,Fuerte Venta,2457419,5.35,5.9075,6.365,9.61215001,6.45853085,5.35646915,-0.21139375,-0.18623634,29.12015039
GAP/B,Fuerte Venta,2333969,161.58,170.1454995,158.7944012,179.56925015,179.79274019,160.49825881,2.43895789,3.73373303,46.28800655
ALPEK/A,Fuerte Venta,2293441,15.7,17.19649985,17.51179988,16.17214995,18.76527399,15.62772571,-0.41312616,-0.25731223,29.72154454
GFINBUR/O,Fuerte Venta,2214348,15.72,16.7675,16.2234,18.83950003,17.89001297,15.64498703,-0.00377959,0.16184922,39.57068418
LAB/B,Vender,2060575,22.700001,23.17850015,22.95299998,20.3174,23.96213948,22.39486082,-0.07052848,0.07892835,46.21541379
FIBRAHD/15,Fuerte Venta,2019146,4.75,4.839,4.882,6.28085001,4.94518851,4.73281149,-0.01959478,-0.01443039,43.30472656
AEROMEX,Fuerte Venta,1991321,4.78,5.2915,5.04,9.8483,6.07977089,4.50322911,-0.10833528,-0.01965469,36.87113085
BIMBO/A,Vender,1930081,40.259998,42.25200005,40.21879992,35.52995009,45.01541631,39.48858379,0.29306011,0.74051966,44.94186698
ALSEA,Fuerte Venta,1761228,20.719999,21.71499995,21.87500002,31.29554995,23.41479399,20.01520591,0.07490676,0.12807903,39.78493129
Q,Fuerte Venta,1556633,86.690002,89.27850015,90.04980028,85.31190025,95.40318558,83.15381472,-1.32170367,-1.04228969,43.09511995
BSMX/B,Fuerte Venta,1395622,13.38,14.84300005,15.2636,19.50590001,16.43929716,13.24670294,-0.43578843,-0.28067198,29.9211544
OMA/B,Fuerte Venta,1371984,99.5,101.66149965,99.74359988,112.10165021,108.20188668,95.12111262,0.40094823,0.55254019,49.04389199
NEMAK/A,Fuerte Compra,1357401,6.88,6.2325,5.5578,5.983,6.89735713,5.56764287,0.32904168,0.29976961,70.94772167
VOLAR/A,Fuerte Compra,1328556,18.280001,16.51900015,13.75480006,15.55224998,19.30886715,13.72913315,1.37204762,1.29199559,68.22846736
AC,Fuerte Venta,1206377,98.410004,104.79950015,103.7660002,102.27530018,110.37070564,99.22829466,-1.11099721,-0.0980823,31.5907822
