Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
INO,Neutral,13875,290.5,252.3305,385.120599,,328.63633607,176.02466393,-38.46797744,-49.09970278,51.48278912
AAU/N,Fuerte Compra,1830,18.99,14.5140005,12.2000002,,20.54619937,8.48180163,1.61938072,1.42582194,86.93816863
ROKU,Fuerte Compra,38,3554.5,3489.668005,,,3891.96228117,3087.37372883,2.57138019,18.75604647,52.53154972
TSLA,Fuerte Compra,19756,9458.2598,8970.994335,7686.833878,4153.8180091,10711.19316548,7230.79550452,262.08272907,398.25536745,58.80806628
TRAXION/A,Fuerte Compra,570943,16.77,15.6965,15.2466,14.03159999,16.19850697,15.19449303,0.17388148,0.14284796,80.79315846
SPG,Fuerte Compra,1784,1500,1472.718,1445.472602,,1565.47791065,1379.95808935,-2.84309051,3.79360157,53.2854224
SQ,Fuerte Compra,15140,3250.0701,3291.854485,3097.703398,1904.63125005,3693.40947505,2890.29949495,-11.78378654,37.80903172,52.62988428
TSM/N,Fuerte Compra,202,1810,1742.3895,1682.109,1264.03875035,1816.30349339,1668.47550661,12.26023237,18.81038117,61.98970648
ENPH,Fuerte Compra,42,1525.95,1575.2385,1364.3911978,,1780.00990654,1370.46709346,14.26904088,47.55773032,52.39728142
DDOG,Comprar,6366,1857.4301,1816.359505,1908.601994,,1958.56666433,1674.15234567,-37.01452606,-43.03651611,53.73888222
BNTX/N,Comprar,1070,1489.98,1406.339,1622.7126,,1637.45986967,1175.21813033,-68.44860807,-91.71155926,55.40005571
TTD,Vender,9,9350,10127.320015,9883.310422,,11207.86194362,9046.77808638,-122.29588029,62.45927091,41.66953329
MRNA,Comprar,232346,1407.2,1393.193495,1560.900396,,1589.7351757,1196.6518143,-68.52279855,-71.00691919,49.10993992
SE/N,Neutral,37,3114.98,3264.101,2925.463004,,3636.91398229,2891.28801771,32.69077575,98.28197482,52.017259
CHDRAUI/B,Fuerte Venta,878944,24.51,25.6264997,26.02699988,26.35214995,28.34126879,22.91173061,-0.67121623,-0.50182252,41.50230977
GME,Fuerte Compra,5049,147.99001,135.1990002,113.45220036,,191.4915872,78.9064132,12.99299804,14.12411802,57.76416885
EVER,Fuerte Compra,19,902.15002,,,,,,,,
TAL/N,Fuerte Compra,16,1647.3,1648.294995,1546.711596,983.4118984,1778.0845899,1518.5054001,8.14971682,24.23157864,53.44574152
