Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
CEMEX/CPO,Fuerte Compra,25973020,7.57,7.278,6.6916,6.3638,7.91394339,6.64205661,0.30708005,0.30806183,63.43645409
AMX/L,Fuerte Venta,21690085,13.91,14.2065,14.5598,14.93144999,14.55350288,13.85949712,-0.12930413,-0.11967405,39.87769636
FUNO/11,Fuerte Venta,12275218,17.51,18.18199995,18.25379998,23.77814998,19.32479636,17.03920354,-0.01798293,0.07630846,40.44081757
WALMEX,Fuerte Compra,7361470,56.759998,55.65650005,55.50500014,55.86084991,58.86795634,52.44504376,0.58455593,0.37655924,54.49287567
GFNORTE/O,Vender,3860914,80.589996,81.13599995,80.52019998,89.25229993,85.41883788,76.85316202,0.91890602,0.74425217,49.14501637
BBAJIO/O,Fuerte Venta,3860211,17.719999,17.72200005,18.80540014,24.48700007,18.54707246,16.89692764,-0.11943294,-0.24340412,44.68653889
GMEXICO/B,Comprar,3502243,58.419998,59.12999995,56.17520032,51.61095025,62.16241168,56.09758822,0.88933685,1.07684965,50.84420467
GENTERA,Fuerte Venta,3043988,7.52,7.707,9.19320002,14.07010002,8.43416161,6.97983839,-0.41299981,-0.51301055,33.51558497
HOMEX,Fuerte Venta,2778463,0.046,0.04865,0.04866,0.060365,0.05201303,0.04528697,-0.00042982,-0.00007734,38.7651967
ALFA/A,Fuerte Compra,2694734,14.18,13.744,12.9712,12.84940001,16.82963381,10.65836619,0.56182256,0.58961897,56.53132789
AXTEL/CPO,Fuerte Compra,2445196,6.87,6.3615,5.1114,3.694,7.09917947,5.62382053,0.48065554,0.51316871,73.15366665
BIMBO/A,Fuerte Compra,2113399,42.959999,41.955,39.44960012,35.25380009,45.14360877,38.76639123,1.33376206,1.19470111,58.10736564
KIMBER/A,Fuerte Compra,1898900,37.73,36.57699985,35.41100004,36.51995007,37.82170178,35.33229792,0.65604661,0.54694949,64.54911829
IENOVA,Fuerte Venta,1809640,64.080002,65.85900045,65.17500048,75.36530024,68.83443179,62.88356911,0.33175308,0.47173565,43.61506286
FEMSA/UBD,Fuerte Venta,1768627,127.58,132.746,136.5860012,157.1103005,138.43832958,127.05367042,-1.81170685,-1.66260098,35.39784768
GFINBUR/O,Fuerte Compra,1673345,17.01,16.47249995,16.3186,19.19080004,17.78145175,15.16354815,0.36528353,0.25010041,56.80757416
NEMAK/A,Fuerte Compra,1639689,6.05,5.7255,5.2374,6.10305001,6.48806082,4.96293918,0.23341109,0.24109318,63.95877151
R/A,Fuerte Venta,1564064,55.060001,57.2379996,60.23399986,81.24324992,59.41955514,55.05644406,-0.93960962,-1.00799844,39.76449715
LAB/B,Fuerte Compra,1449650,23.48,23.372,22.48359992,20.19914998,23.81148175,22.93251825,0.25731795,0.32898042,55.60648394
TLEVISA/CPO,Vender,1300894,27.48,28.1,25.93919996,33.17960002,32.6046418,23.5953582,0.96456848,1.19323079,48.77103227
CUERVO,Vender,1153920,40.23,43.53049985,42.82159988,36.39230002,46.52999681,40.53100289,-0.28728405,0.12040091,39.06610724
AEROMEX,Comprar,1002802,5.58,5.243,5.3568,10.2996,6.03513888,4.45086112,0.15338847,0.05572951,56.03262955
ORBIA,Fuerte Compra,982046,37.57,36.89250015,35.13460006,36.81909996,38.87488101,34.91011929,0.87258019,0.86950884,57.0015144
MGM,Fuerte Compra,949578,462.04999,420.937,399.3718,457.4283496,531.47849655,310.39550345,24.63742756,21.62169807,62.1560712
Q,Fuerte Venta,944072,88.089996,91.4824997,90.59040012,85.0664502,95.54506006,87.41993934,-0.46896362,0.15101165,40.46542725
BOLSA/A,Comprar,893659,46.849998,47.2389997,45.03279996,42.45209997,51.34481505,43.13318435,0.57312645,0.90060875,51.66899
GAP/B,Comprar,836842,168.36,160.9960005,157.9166012,181.1699002,187.50497313,134.48702787,5.87218301,4.96765486,56.21211447
ALPEK/A,Vender,772136,17.290001,17.8825,17.59739998,16.35824997,18.50532823,17.25967177,0.02874736,0.15017245,41.0375202
ALSEA,Comprar,770714,21.76,21.4405,22.15260008,32.66589997,23.13491982,19.74608018,0.03073606,-0.15263149,51.19146734
BSMX/B,Fuerte Venta,702411,14.86,15.15500005,15.76040002,19.99620001,16.3284822,13.9815179,0.01410164,-0.01523926,44.0100316
CHDRAUI/B,Fuerte Compra,633344,27.629999,26.638,26.255,26.40089999,27.60262595,25.67337405,0.30657521,0.17561221,62.66201513
ALEATIC,Fuerte Venta,632194,19.07,19.77850025,19.67460008,22.34260009,20.89846968,18.65853082,-0.17590405,-0.0332794,38.8008192
AC,Neutral,624195,105.03,106.5325,103.3284001,102.44330016,109.32883242,103.73616758,0.98863355,1.21085437,49.19416726
CREAL,Vender,558723,12.05,12.115,12.2974,17.35650008,13.28588855,10.94411145,-0.27759965,-0.24696986,49.24890601
VESTA,Vender,548070,32.599998,32.9624999,33.51499992,32.3894999,33.72062602,32.20437378,-0.11551993,-0.0956918,44.36124044
VOLAR/A,Fuerte Compra,517961,16.34,14.02950005,12.82080002,15.70404997,17.37126307,10.68773703,1.10036222,0.88175485,74.85684273
GRUMA/B,Fuerte Compra,488863,274.14999,266.648999,251.2501984,216.3542494,279.42532439,253.87267361,7.32319793,6.7652062,60.1374434
HCITY,Neutral,484872,6.15,5.867,6.78320002,10.10135,6.58318713,5.15081287,-0.12334356,-0.19310491,48.11228197
UAL,Fuerte Venta,445883,726.01001,757.5985045,770.0345982,1095.9310502,838.6906458,676.5063632,1.62806635,6.03067052,43.43730301
FIBRAMQ/12,Fuerte Compra,444886,25.459999,25.46200005,24.61240006,24.22560001,25.95667574,24.96732436,0.24149609,0.31036871,54.52467636
SITES/B-1,Comprar,388272,17.18,17.20199995,16.1664,14.80795,18.51500587,15.88899403,0.44777667,0.48085166,51.44449641
TRAXION/A,Fuerte Compra,385829,15.7,15.6055,14.6918,13.86354999,16.43214321,14.77885679,0.34349576,0.40888652,61.97277727
OMA/B,Fuerte Venta,375524,98.169998,98.2589998,100.37939994,113.52350022,110.23009171,86.28790789,1.1949527,0.91512939,47.12646343
CMOCTEZ,Fuerte Venta,360563,47,47.0145,47.88380008,54.34685029,47.85824042,46.17075958,-0.3090276,-0.41281352,40.98631899
TERRA/13,Fuerte Compra,314209,28.24,28.13900015,27.54799996,28.30640001,28.6395559,27.6384444,0.22165989,0.2560706,55.14097801
FIBRAPL/14,Fuerte Compra,291726,44.509998,43.8344998,42.68659998,40.82131561,45.15836381,42.51063579,0.59443601,0.58536873,59.53966584
GCARSO/A1,Fuerte Venta,262211,45.09,44.947,45.1371999,56.37584994,48.03964951,41.85435049,0.41449737,0.2850444,48.57159281
LACOMER/UBC,Comprar,257960,35.060001,35.27299985,33.31019996,26.35004986,36.16008707,34.38591263,0.62212211,0.79770405,53.80046309
GFAMSA/A,Fuerte Venta,249756,0.514,0.6337,0.94698,2.690445,0.79471938,0.47268062,-0.10900792,-0.12279283,27.23256207
MEGA/CPO,Fuerte Venta,247471,67.5,67.69399955,68.23679968,69.20694994,70.4647627,64.9232364,0.05459832,-0.08278419,46.95093919
AZTECA/CPO,Fuerte Venta,238574,0.34,0.3405,0.33706,0.543185,0.36819476,0.31280524,-0.00014271,0.00037172,49.15012671
LIVEPOL/C-1,Fuerte Venta,237273,55.439999,55.67150015,55.7424001,75.07424994,58.8944076,52.4485927,0.23252591,0.04488766,48.04590206
ARA,Fuerte Compra,221227,3.04,2.832,2.7092,3.34095,3.05912111,2.60487889,0.07566869,0.04784219,64.57400272
