Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
INO,Fuerte Venta,7450,238.7,364.909998,,,629.26614507,100.55385093,-17.54552861,,47.62423907
TSLA,Fuerte Compra,22414,8777.4902,6104.98202,3700.8912468,1767.1802117,10083.51710992,2126.44693008,1534.39288766,1328.52173893,70.71568741
NKLA,Vender,27163,757.84998,,,,,,,,
DKNG,Fuerte Compra,11443,1016.25,,,,,,,,
RIG/N,Fuerte Venta,4811,22.48,39.0439999,63.3704001,169.65645008,58.65237865,19.43562115,-10.08245329,-9.96931929,35.35081197
GME,Fuerte Compra,5431,141.69,110.02600055,102.45220032,,147.76074657,72.29125453,6.33746617,0.31313672,57.30277738
FINN/13,Fuerte Venta,2593,4.69,5.035,6.2096,9.31596794,5.62544051,4.44455949,-0.41241688,-0.43195696,36.91288278
CMOCTEZ,Vender,1433,50.759998,49.0564999,54.10280024,64.41295009,53.56036575,44.55263405,-1.95190852,-2.34394854,51.52104324
FSLY,Vender,65,1750,,,,,,,,59.71012423
R/A,Fuerte Venta,853700,50.509998,58.9799995,80.0561998,99.51034989,71.09976015,46.86023885,-7.48813546,-7.67129101,35.23179973
CDEV,Fuerte Venta,441,12.25,20.0114999,105.9684,,29.99628468,10.02671512,-23.39684427,-30.01044193,29.17552798
MRNA,Vender,172566,1341.02,1480.57848,,,1847.81143558,1113.34552442,158.34762325,238.937983,51.44776463
AMX/L,Fuerte Venta,67450562,14.21,14.4495,14.83059996,15.00975,15.71293144,13.18606856,-0.29981103,-0.22675452,48.67140026
MU,Comprar,9586,1037.25,1074.6475035,1030.7982004,820.83534965,1200.05819539,949.23681161,-9.05171196,6.65531626,49.02580493
AGNC,Comprar,22,313,303.242499,314.3867992,342.22669955,322.96801122,283.51698678,-0.05188222,-2.0459673,51.88899531
ASUR/B,Vender,281842,245.38,244.3835015,286.611601,318.82540055,280.95221062,207.81479238,-10.62305531,-13.78386018,47.5121014
ZM,Fuerte Compra,1425,8500,5707.009005,,,8348.01618646,3066.00182354,,,82.2159374
BYND,Fuerte Compra,2137,3025,2994.975985,2290.045794,,3418.32620519,2571.62576481,125.87248052,160.68766106,56.28273361
SQ,Comprar,2628,3041.9399,2595.861495,1823.779002,,3710.17985883,1481.54313117,420.63764211,412.06224149,62.89669387
BBBY,Comprar,46,268.44,217.6305,215.5820002,586.13094955,307.24476524,128.01623476,15.58178265,8.5223005,57.87506172
TSN,Fuerte Venta,67690,1376.85,1400.6755,,,1495.50600047,1305.84499953,-40.14535583,-47.46535217,45.48752086
NIO/N,Fuerte Compra,7991,394.81,236.1615007,,,,,92.7070497,,73.97746754
WDC,Fuerte Venta,117,810,920.387002,1034.2674056,1248.58894975,1098.51749695,742.25650705,-68.56167735,-55.83800523,39.0931766
NVO/N,Fuerte Compra,14,1464.23,1470.479505,1298.333608,982.73865155,1553.94016164,1387.01884836,33.97607476,54.46188335,54.8571556
SPCE,Fuerte Venta,372,366.25,400.7745,,,533.70672524,267.84227476,,,40.46873354
ENPH,Neutral,67,1433.1,1340.011995,,,1740.51958477,939.50440523,167.95941951,,54.73484145
PINFRA,Fuerte Venta,211884,164.32001,164.9685045,176.3032014,186.1186503,175.44349812,154.49351088,-2.74153885,-3.48553182,47.71661342
ELEMENT,Fuerte Compra,15035,10.12,7.3895,8.3134,15.04815,10.02592542,4.75307458,0.47366457,-0.01118394,71.5373047
PINS,Fuerte Compra,96,761,603.341501,503.3280006,,871.92304022,334.75996178,81.82195906,64.42607065,65.43630005
CEMEX/CPO,Fuerte Compra,23469157,8.3,6.492,6.541,11.27992599,8.49125586,4.49274414,0.45965687,0.22928901,66.00913673
PAAS/N,,142,763,,,,,,,,
GFNORTE/O,Vender,4512332,77.559998,77.2569998,89.3800001,105.79155012,86.89476874,67.61923086,-2.43512149,-3.23096113,46.58439673
TLEVISA/CPO,Neutral,1272553,28.65,26.36099985,33.45840012,59.22115001,31.1409282,21.5810715,-0.8952149,-1.7478219,50.12652997
MFRISCO/A-2,Fuerte Compra,664,3.91,2.639,,,4.33317709,0.94482291,0.18912486,-0.0977015,63.83018641
CREAL,Fuerte Venta,442861,11.5,12.326,17.26760004,23.12045002,13.89346164,10.75853836,-1.47117834,-1.69118741,37.82275972
GM,Fuerte Compra,88695,661,598.7725005,617.392401,695.1744006,678.27558279,519.26941821,12.51658177,0.56946888,57.56179541
ORCL,Fuerte Compra,16806,1256,1229.629995,1141.0477962,982.2897491,1303.12343905,1156.13655095,24.78109072,31.15872847,57.274434
AXP,Fuerte Compra,128,2259.04,2175.14399,2233.071598,1969.4568985,2368.8842565,1981.4037235,4.41011366,-10.7921453,52.55089419
OMA/B,Vender,310358,100.41,99.02000005,113.1694011,107.04725018,113.15766172,84.88233838,-2.26882237,-3.51390262,48.93545531
ET,Fuerte Venta,194,130.05,158.837,,,200.79428588,116.87971412,-19.48404998,-19.11122186,34.7513789
GE,Fuerte Venta,271,129.98,146.767499,178.9102006,292.86794975,168.90269207,124.63230593,-12.0394036,-11.5116513,38.91181089
LMT,Comprar,73,8362.0996,8473.72097,8091.2592,6444.861448,9004.33579031,7943.10614969,63.06152358,119.19918809,50.16318815
VLO,Fuerte Venta,164,1009,1292.664995,1456.4240016,1574.7448014,1641.68073365,943.64925635,-102.95162851,-79.18776305,36.75937643
GCARSO/A1,Fuerte Venta,356223,43.860001,46.08549985,55.7805998,66.98354988,51.46472799,40.70627171,-3.10783251,-3.52300173,41.60916815
LUV,Neutral,563,845.57001,752.684002,879.5062008,950.279701,899.72453495,605.64346905,-12.89155527,-34.70652637,53.15420051
BACHOCO/B,Comprar,66681,69.830002,67.5709999,72.28519964,82.45514983,69.53937837,65.60262143,-0.6217442,-1.29540439,52.9014397
TEVA/N,Fuerte Venta,87,192.16,250.8759985,216.9929996,393.5433493,313.03591727,188.71607973,-7.28019659,4.08548062,38.53652545
AAPL,Fuerte Compra,23770,2435.6499,2185.92499,1719.857451,1052.51507787,2819.75636091,1552.09361909,257.44717792,249.73209829,64.15072036
FRES,Fuerte Compra,6,350,285.18,218.768601,,445.13443143,125.22556857,46.2137904,41.38135298,67.06216206
DAL,Vender,486,690.41998,616.9270055,818.3091998,966.66669795,750.40604745,483.44796355,-32.12494608,-58.02468252,50.50974646
DDOG,Vender,72,1748.72,,,,,,,,
PRGO/N,Fuerte Venta,200,1062.63,1182.995005,,,1324.77397041,1041.21603959,-0.83247176,,43.77231553
UBER,Fuerte Compra,1168,799,734.821002,667.1420008,,825.60013994,644.04186406,19.38272559,16.13018971,58.39201394
FUNO/11,Fuerte Venta,9704952,16.67,18.0970002,23.80900004,27.14719999,20.5072959,15.6867045,-1.76439905,-1.92029637,37.7522675
JD/N,Fuerte Compra,70,1620,1399.0965,1021.6201976,720.22489955,1762.3576582,1035.8353418,179.17107582,170.89704439,67.26661475
F,Comprar,105,150,143.303001,149.1310004,191.7012996,164.81212128,121.79388072,1.88860466,0.45993972,52.62639102
BA,Fuerte Venta,97,3488.71,3735.48804,4851.639002,5511.323108,4532.61047802,2938.36560198,-289.35891811,-338.15572558,42.07582221
STZ,Fuerte Compra,227,4110,3986.735985,3751.396588,3742.0593535,4223.59505756,3749.87691244,83.42939191,85.16465164,55.90837275
BSMX/B,Fuerte Venta,736416,12.95,14.8749999,19.94179998,27.27569996,17.8646852,11.8853146,-1.68382125,-1.77319595,35.54942499
LAB/B,Comprar,1742814,21.309999,21.5809999,20.29519992,19.06379994,24.36577233,18.79622747,0.65537223,0.83547081,50.53346851
AMAT,Vender,126,1196,1330.698995,1208.374598,,1497.75572782,1163.64226218,25.08055295,55.79329337,43.71452582
WFC,Fuerte Venta,1556,521.01001,570.0855015,759.5681996,953.4373512,653.0189234,487.1520796,-61.45454434,-66.49970931,36.37782842
QSR/N,Vender,175,1192,1241.985995,1217.7853984,,1313.94351867,1170.02847133,10.95846668,20.09461162,47.79078127
GAP/B,Vender,988832,160.21001,156.7800005,180.380599,183.2867998,179.79880225,133.76119875,-2.71418322,-5.27326129,48.44406627
FCFE/18,Fuerte Compra,121757,25.190001,23.9005001,24.62779994,,27.88810848,19.91289172,0.5557857,0.44521505,57.41917473
NOWW,Fuerte Compra,201,9672.3604,9269.462015,7131.825,,10577.67881379,7961.24521621,804.46451101,877.32106449,60.2993982
DOCU,Comprar,624,4240,3990.23098,2501.95459,,5436.76489412,2543.69706588,612.46576994,690.77642852,61.91792266
IENOVA,Fuerte Venta,4586695,61.759998,64.9419998,75.21979992,83.94834979,72.61901637,57.26498323,-3.38898767,-3.56853135,42.00171155
SPG,Fuerte Venta,85,1402,1454.6415,,,1754.81004147,1154.47295853,-12.53787191,,40.78808588
PFE,Vender,368,783.5,814.9684985,773.1968014,733.3771001,910.27325265,719.66374435,5.53058861,12.41294324,47.09430665
HUM,Vender,720,8477.2803,8808.69204,7195.557012,,9464.22672858,8153.15735142,415.90097709,549.78937675,52.7096692
LACOMER/UBC,Fuerte Compra,320526,33.150002,31.30999975,26.80659992,21.02819997,38.60692565,24.01307385,2.38953986,2.55325008,63.51857504
