Ticker,Valoración de medias móviles,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)"
CHL/N,Fuerte Compra,853.29999,791.957999,818.8198012,819.9282513,848.38785787,735.52814013,7.40773,-4.05312873
GRUMA/B,Fuerte Compra,281.20999,264.392499,249.1025986,215.6631495,277.89445023,250.89054777,6.96193147,6.42637411
LVS,Comprar,1062.48,1021.7299995,1045.5751996,1124.2572,1118.26819782,925.19180118,6.8840637,0.17385286
GOLD/N,Fuerte Compra,648.78003,640.6739995,610.069198,476.33904915,695.7293411,585.6186579,6.7546161,7.36825706
GAP/B,Fuerte Compra,172.47,158.8855,157.3324008,181.4841502,185.69060053,132.08039947,6.63320098,4.33424015
OKTA,Fuerte Venta,4515.02,4694.420465,4515.135588,,5075.24373684,4313.59719316,6.46131017,65.14740605
GNP,Fuerte Compra,75,62.5049999,53.16,40.60765,77.0474169,47.9625829,5.87077991,5.05208243
DAL,Vender,612.12,600.9009995,620.3388042,810.3696517,668.99772494,532.80427406,5.65014611,3.11782437
SPG,Fuerte Venta,1422,1433.147005,1479.423602,,1541.65858938,1324.63542062,5.4946902,-0.02672477
KO,Fuerte Venta,1048.01,1064.179,1044.5457984,1061.4292987,1086.13185029,1042.22614971,5.29266209,6.73604466
LUV,Comprar,760,735.4715,756.9074008,905.3511505,801.15419561,669.78880439,5.23383164,1.40649971
ASUR/B,Comprar,249.35001,233.3634995,244.0768014,290.01800135,263.56564019,203.16135881,4.62559316,0.62348585
OPK,Comprar,112.62,119.8025005,93.07480042,110.23075001,134.20110167,105.40389933,4.34590984,7.42217045
BAS/N,Comprar,1336,1242.922515,1318.899606,1671.3583525,1364.1989291,1121.6461009,4.29240307,-16.04255306
NOK/N,Fuerte Compra,112.5,107.78550005,102.42419992,84.51909976,122.49672491,93.07427519,3.59638175,3.62975994
PINFRA/L,Fuerte Compra,120,109.995,108.577,123.49405005,121.84912586,98.14087414,3.24141429,1.85970361
AAL,Vender,280.92999,274.8465005,291.0998004,385.1981005,316.64126802,233.05173298,2.99903443,1.7116496
PINFRA,Fuerte Compra,172.19,167.002999,164.7158008,177.48800025,177.32058824,156.68540976,2.96486205,2.04278824
VALE/N,Neutral,249.5,256.4324985,241.6183998,228.05920015,267.60882905,245.25616795,2.7220931,4.80520372
F,Comprar,153.57001,154.430501,146.9958,148.38820015,161.39972788,147.46127412,2.56689112,3.28685705
GCC,Comprar,104.21,104.61599995,98.09399996,91.55689971,109.28126927,99.95073063,2.11918152,2.83196316
CVS,Vender,1435,1435.158,1440.962996,1398.692798,1491.87488341,1378.44111659,1.78136662,1.30611402
RTX,Vender,1375,1365.432505,1408.687002,,1480.70703237,1250.15797763,1.73544829,-4.42947101
OMA/B,Comprar,102.78,97.87999995,100.36320004,113.82970023,109.91425479,85.84574511,1.72827132,0.65713292
AGNC,Fuerte Compra,309.01999,306.9054995,302.4537996,314.6911995,316.05538435,297.75561465,1.53098757,1.97855833
HERDEZ,Fuerte Compra,38.599998,36.17549955,34.74779966,34.90739989,41.54561542,30.80538368,1.47561578,1.25078525
BIMBO/A,Fuerte Compra,44.860001,41.46049985,39.10940006,35.18550009,45.16410164,37.75689806,1.40543197,1.098648
TLEVISA/CPO,Comprar,28.91,27.717,25.86059998,33.33905002,32.85955207,22.57444793,1.33849719,1.27143185
AC,Fuerte Compra,107.05,106.464,103.09380016,102.44845016,110.08743704,102.84056296,1.30162371,1.28301322
AMC,Fuerte Compra,118.52,107.1670003,,,130.43377696,83.90022364,1.12550789,-1.32355378
GMEXICO/B,Fuerte Compra,61.200001,59.06800005,55.91740032,51.53735027,62.10691834,56.02908176,1.06357667,1.14588132
GFNORTE/O,Fuerte Compra,83.959999,80.8095,80.29519998,89.47879994,85.17024093,76.44875907,1.04924358,0.59568839
VOLAR/A,Fuerte Compra,15.8,13.583,12.6242,15.74834997,16.65796406,10.50803594,0.98230259,0.76612941
ORBIA,Fuerte Compra,38.630001,36.5275,35.04080008,36.85939995,39.11336851,33.94163149,0.96132676,0.85589389
GMXT,Fuerte Compra,29,26.86199985,25.91639988,25.26074988,30.06598256,23.65801714,0.93886601,0.75709281
MUX,Vender,29.280001,30.1095001,25.16860012,45.10856937,33.65680084,26.56219936,0.91160082,1.32973167
X,Fuerte Compra,179,168.2645,172.9804002,188.49220015,185.47365629,151.05534371,0.88655192,-0.96732327
AUTLAN/B,Fuerte Compra,10.4,9.5055,8.2882,8.30590001,12.16897499,6.84202501,0.75735715,0.7476448
LACOMER/UBC,Fuerte Compra,35.939999,35.17849995,32.96979996,26.25954986,36.1454386,34.2115613,0.70875784,0.87756485
BOLSA/A,Fuerte Compra,47.330002,47.03649995,44.87720006,42.40914999,51.36237251,42.71062739,0.69838476,1.06644997
UAA,Fuerte Venta,223,238.471,227.9915992,316.78629885,259.87106586,217.07093414,0.68924251,2.8946812
IENOVA,Neutral,66.510002,65.7740004,65.04560044,75.56790022,68.98141908,62.56658172,0.67285848,0.49063223
MEDICA/B,Fuerte Compra,17.790001,15.8485,14.971,17.68470006,17.61374535,14.08325465,0.65768064,0.46101335
ALFA/A,Fuerte Compra,14.53,13.4465,12.9188,12.87740001,16.84233436,10.05066564,0.65351948,0.5928654
GCARSO/A1,Comprar,46.509998,44.8974999,45.22699994,56.59934995,47.98972114,41.80527866,0.61937395,0.18711495
FIBRAPL/14,Fuerte Compra,44.439999,43.69400015,42.4814,40.79119003,44.96538244,42.42261786,0.61121667,0.57543219
WALMEX,Fuerte Compra,57.419998,55.5480002,55.40820014,55.87159992,58.62493151,52.47106889,0.58361472,0.25017225
KIMBER/A,Fuerte Compra,37.279999,36.27549985,35.243,36.51895007,37.67182936,34.87917034,0.57711631,0.49156372
SITES/B-1,Fuerte Compra,17.889999,17.14399995,16.0438,14.76255,18.47134933,15.81665057,0.56187519,0.481736
ELEMENT,Fuerte Compra,8.520001,7.02600005,6.68020002,8.24860001,8.73377539,5.31822471,0.54612902,0.33827302
LALA/B,Fuerte Compra,14.1,12.821,12.4086,14.16660001,14.69585359,10.94614641,0.54568796,0.409434
AXTEL/CPO,Fuerte Compra,6.68,6.249,4.9836,3.65455,6.97601857,5.52198143,0.48680898,0.52966685
M,Fuerte Venta,143.36,147.0034985,151.4374,248.49064915,163.8018211,130.2051759,0.44281438,-0.00114525
AGUA,Fuerte Compra,16.08,15.3955,14.7794,14.87919133,16.45152036,14.33947964,0.42023742,0.38447821
UNIFIN/A,Comprar,18.889999,18.39360575,17.84333946,22.69471311,19.54684899,17.24036251,0.39571307,0.36588628
GFINBUR/O,Fuerte Compra,17.73,16.3509999,16.28619998,19.26850004,17.64363885,15.05836095,0.39216772,0.18051316
MFRISCO/A-2,Fuerte Compra,3.4,2.996,2.4402,,4.47557291,1.51642709,0.38968796,0.37851494
TRAXION/A,Fuerte Compra,15.7,15.4465,14.6128,13.84414999,16.67022015,14.22277985,0.38960859,0.44024479
KOF/UBL,Comprar,96.120003,94.13050045,96.6568005,104.57085012,97.81298107,90.44801983,0.35149079,-0.24621999
BACHOCO/B,Fuerte Compra,68.699997,67.3800002,67.38519976,71.58654986,70.01057327,64.74942713,0.35010277,0.23578064
CEMEX/CPO,Fuerte Compra,7.48,7.142,6.6276,6.3613,7.97707125,6.30692875,0.32081846,0.30547647
AZN/N,Fuerte Compra,1249.99,1249.601505,1236.848002,998.49460075,1279.06421812,1220.13879188,0.30442731,2.50884837
LAB/B,Fuerte Compra,23.459999,23.28650005,22.35439994,20.17494998,23.98464842,22.58835168,0.30381085,0.36756436
FIBRAMQ/12,Fuerte Compra,25.4,25.4010001,24.55960006,24.24730001,26.04199613,24.76000407,0.28218278,0.34534956
LIVEPOL/C-1,Comprar,56.970001,55.75000025,55.77580012,75.51404995,59.05278721,52.44721329,0.27115584,-0.08218351
IBM,Fuerte Venta,2750,2793.286495,2759.5792,2707.2254505,2887.23033586,2699.34265414,0.2596796,7.75207196
GISSA/A,Fuerte Compra,16.99,15.93399985,15.83019996,18.98109998,16.90829732,14.95970238,0.25678638,0.13718045
RIG/N,Fuerte Venta,42.990002,48.921,46.77780002,103.58180017,56.18853544,41.65346456,0.2527209,1.36179975
CHDRAUI/B,Fuerte Compra,27.5,26.488,26.17740006,26.39165,27.43884369,25.53715631,0.25246683,0.11272265
NEMAK/A,Comprar,5.95,5.648,5.2012,6.13160001,6.44911422,4.84688578,0.25052209,0.24483591
TERRA/13,Fuerte Compra,28.200001,28.13650015,27.45879996,28.35185001,28.65113697,27.62186333,0.24691641,0.27239118
VISTA/A,Vender,75,75.5160004,74.93660042,101.67839993,79.1366656,71.8953352,0.19360744,0.3618025
DANHOS/13,Vender,21.639999,21.5449998,21.68739996,24.12605003,22.77014434,20.31985526,0.18442578,0.13841911
FCFE/18,Fuerte Compra,25.51,25.33599985,25.00019986,24.64069999,25.86956891,24.80243079,0.16292568,0.19144178
AEROMEX,Comprar,5.76,5.187,5.4088,10.3925,5.92762406,4.44637594,0.14635334,-0.00058585
FUNO/11,Fuerte Venta,17.959999,18.21999995,18.36859998,23.89899997,19.28260045,17.15739945,0.14616429,0.11292108
ALPEK/A,Neutral,17.780001,17.9619999,17.5506,16.39884997,18.45740267,17.46659713,0.14189276,0.20569676
FPLUS/16,Vender,12,12.206,11.7628,11.6388,12.66440593,11.74759407,0.13922869,0.19027324
LAMOSA,Comprar,23.5,22.14,22.58100016,26.56160009,23.84411267,20.43588733,0.11699166,-0.13959631
EDUCA/18,Fuerte Compra,28.75,28.6615,28.3286,27.09810002,28.90285244,28.42014756,0.11271432,0.12951414
MFRISCO/A-1,Comprar,3.82,3.857,3.4454,2.9888,4.26063845,3.45336155,0.10866356,0.15439738
BSMX/B,Fuerte Compra,15.88,15.09150005,15.78400002,20.11005001,16.32269921,13.86030089,0.08602308,-0.04556779
MAXCOM/A,Fuerte Compra,1.62,1.3165,1.3054,2.05678185,1.60888844,1.02411156,0.07585012,0.0276804
MEGA/CPO,Fuerte Compra,68.809998,67.9294999,68.0935996,69.32074996,71.20452951,64.65447029,0.0635493,-0.1791454
FMTY/14,Fuerte Compra,10.08,9.9765,9.8978,10.79005001,10.25680519,9.69619481,0.05829483,0.05324012
ARA,Fuerte Compra,3.04,2.798,2.684,3.3473,2.97839956,2.61760044,0.05262159,0.03427791
FIHO/12,Fuerte Compra,4.61,4.3685,4.3464,6.39565001,4.54573149,4.19126851,0.04046863,0.01193465
