Ticker,Valoración de medias móviles,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)"
SAN,Fuerte Venta,49.75,51.22799985,54.59280016,63.87510001,54.35029764,48.10570206,-1.25330123,-1.32950796
NCLH/N,Comprar,345,323.3694995,356.1301998,602.8204991,357.93241517,288.80658383,-1.29254653,-6.1577805
C,Fuerte Venta,1112.79,1150.560505,1157.1206,1250.1322,1204.80581124,1096.31519876,-1.31464793,2.72714006
FEMSA/UBD,Fuerte Venta,129.53,133.4144995,137.290001,157.5409505,138.53045952,128.29853948,-1.43210746,-1.63915618
UTSI,Fuerte Venta,34.27,37.63599995,40.5777999,54.20600001,42.46910875,32.80289115,-1.76725831,-1.68830101
GE,Fuerte Venta,140.97,145.493499,152.2409998,184.2515001,156.62462014,134.36237786,-2.53797182,-2.54945847
LIVEPOL/1,Fuerte Venta,54,57.65799985,62.0751999,84.20830001,65.53394473,49.78205497,-2.67140643,-2.49384381
ET,Fuerte Venta,143,146.3615,157.0773996,,154.31092736,138.41207264,-2.67583384,-3.17152604
BBVA,Fuerte Venta,66.199997,71.47000045,75.58860004,86.14225001,79.79671178,63.14328912,-2.86498518,-2.38912605
T,Fuerte Venta,658.02002,664.217003,673.5216012,709.5313,684.29522083,644.13878517,-2.96648518,-2.66546522
BIDU/N,Vender,2707.0801,2719.804495,2760.158794,2480.7976505,2915.16295624,2524.44603376,-3.13749706,3.428451
ITUB/N,Fuerte Venta,97.050003,113.29550015,116.42020038,152.83273087,126.7876371,99.8033632,-3.36264782,-2.1557567
VOD/N,Fuerte Venta,344,353.678,353.1956006,431.6408999,372.68163229,334.67436771,-3.64300806,-1.75787536
TEF/N,Fuerte Venta,93.900002,98.80800035,106.12540014,139.4699,108.46062369,89.15537701,-4.11850035,-4.04959699
FEMSA/UB,Fuerte Venta,108.1,117.021,125.7854002,140.2866497,127.00768093,107.03431907,-4.59007302,-4.2401118
