Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
ROKU,Fuerte Compra,51058,4010.5701,3535.63351,,,3968.93960143,3102.32741857,32.69730464,13.80621504,62.94296881
FSLY,Fuerte Compra,5151,1930.8,1867.74,1892.6314,,2161.71091285,1573.76908715,-35.05795656,-33.41134174,54.36067759
PTON,Fuerte Compra,2574,2037.8101,1755.326995,1578.756398,,2100.52616597,1410.12782403,97.76221481,92.16120194,63.88493228
ZM,Fuerte Compra,43823,9997,7981.313015,6653.376404,,10237.36334408,5725.26268592,751.93804871,648.28913839,71.38249573
TWLO,Neutral,2123,5070,5273.584035,5494.610214,3496.750408,6157.03686512,4390.13120488,-214.73358016,-160.70030182,46.25319466
SQ,Fuerte Compra,493,3238,3242.004485,3107.286396,1933.75090055,3653.55872037,2830.45024963,-20.02117399,7.54273659,52.52583111
INO,Fuerte Compra,10095,376.20999,257.0754995,374.4569984,,352.53315137,161.61784763,-9.54308643,-33.95840219,65.48727553
WORK,Fuerte Venta,400,566.40002,630.978509,655.456004,,778.54334139,483.41367661,-36.23279903,-24.70983696,40.11341152
CRWD,Fuerte Compra,138,2862.6399,2727.72601,2516.090208,,3076.24801503,2379.20400497,77.3110552,87.36897047,60.03779105
ETSY,Vender,36,2490,2530.437,2590.841202,,2876.50859689,2184.36540311,-82.48719641,-65.14128978,48.13837637
DOCU,Vender,92,4312,4667.35652,4611.074192,,5609.42281298,3725.29022702,-120.92592492,-36.46013801,44.65454467
PYPL,Vender,2715,3895.1699,4198.339515,4178.685202,3072.623002,4777.3669111,3619.3121189,-128.99511104,-65.02356279,41.40671965
EA,Vender,260,2760,2924.19099,3056.27421,2499.971905,3275.15932595,2573.22265405,-111.63171403,-86.21612304,40.19383912
AMD,Vender,6118,1656.79,1778.832005,1684.070596,1225.4525505,2034.71371911,1522.95029089,-31.99148551,0.30045381,44.74510749
BIMBO/A,Vender,2781312,39.09,40.76349955,40.45239976,35.85110007,43.82284157,37.70415753,-0.66037232,-0.308367,44.40429006
EBAY,Vender,165,1062,1154.312,1222.334002,886.77835105,1309.56934361,999.05465639,-46.19141676,-33.03206938,36.08024132
ALFA/A,Vender,4860142,13.42,14.033,13.4438,12.65340001,15.01742064,13.04857936,-0.13723384,0.03414139,44.75456603
OPK,Fuerte Venta,218,69.989998,74.74650015,98.0732004,105.33390003,100.52688885,48.96611145,-9.09224048,-9.67600168,39.05563843
AAPL,Vender,50605,2344.6799,2596.805985,2446.0555335,1829.40793338,2992.951695,2200.660275,-49.77574685,3.67774188,41.25841559
TAL/N,Vender,31,1560,1620.669,1561.395596,996.0458984,1730.6848792,1510.6531208,-7.48591136,10.5826631,46.90662538
ORCL,Fuerte Compra,8321,1296,1248.679495,1250.137598,1157.5768471,1300.58033563,1196.77865437,6.89421167,1.38787625,59.95351961
DBX,Fuerte Venta,109,409.63,437.8625005,461.874601,,473.97905529,401.74594571,-14.05593665,-11.36770417,37.61985604
PAPPEL,Fuerte Venta,20165,14.41,15.38049995,15.97799998,17.29470001,16.69104893,14.06995097,-0.48685101,-0.36555137,33.4419696
CRM,Comprar,4749,5202.2002,5411.9925,4780.3076,3916.719804,6370.62352716,4453.36147284,108.19956175,199.52468692,51.37625404
WMT,Neutral,785,2940,2992.7465,2956.057006,2663.175901,3223.15106305,2762.34193695,-14.96862426,7.26874266,48.36135832
BIDU/N,Comprar,1102,2653.73,2664.029505,2708.8736,2526.5617505,2845.4433876,2482.6156224,-36.57306332,-36.83769252,49.42889745
COST,Vender,73,7227.8901,7432.55449,7425.368806,6715.826801,7829.04265792,7036.06632208,-82.88475437,-34.23898658,43.2187262
PEP,Fuerte Venta,239,2830,2972.09202,3011.293412,2865.9456545,3159.91771655,2784.26632345,-56.78734198,-32.72324891,33.46265447
FIHO/12,Fuerte Venta,7587,4.12,4.441,4.3956,5.88820001,4.80138313,4.08061687,-0.0833665,-0.03016565,32.77165613
TGT,Fuerte Compra,24,3185,3217.893495,3018.649598,2501.3313965,3393.68757829,3042.09941171,19.60892151,42.87355245,55.56134559
