Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
AMX/L,Fuerte Venta,51712723,13.41,13.9955,14.352,14.87369999,14.6430639,13.3479361,-0.25253262,-0.19325691,36.0242362
WALMEX,Fuerte Venta,37492648,53.09,55.92650005,55.50020008,55.83219992,58.91382873,52.93917137,-0.39320857,0.09378461,36.41358352
HOMEX,Fuerte Venta,33110538,0.045,0.0475,0.04794,0.059185,0.05069374,0.04430626,-0.00078355,-0.00055116,35.82405833
CEMEX/CPO,Neutral,28744747,7.2,7.476,6.8512,6.37105,7.85417456,7.09782544,0.14431729,0.2377569,48.72064888
GMEXICO/B,Fuerte Compra,7062958,60.200001,59.2605001,57.13440034,51.82120025,61.46678641,57.05421379,0.46409781,0.62248184,56.83146111
FUNO/11,Fuerte Venta,6986536,17.4,18.07699975,17.98699998,23.37114996,19.32611313,16.82788637,-0.22573304,-0.12041175,41.7382305
GENTERA,Fuerte Venta,6384027,7.39,7.4885,8.73340002,13.65375002,7.8591899,7.1178101,-0.34823138,-0.4003242,38.3525107
GFNORTE/O,Fuerte Venta,5767555,77,80.0494997,79.95239982,88.38574994,84.9592601,75.1397393,-0.68893096,-0.05054435,41.94359939
GMXT,Fuerte Compra,5377089,29.27,28.2719999,26.53599988,25.40429988,29.48810169,27.05589811,0.69663011,0.7255495,62.44889538
ALFA/A,Fuerte Compra,5319050,14.66,14.471,13.1418,12.76245001,14.93781474,14.00418526,0.37544359,0.45938095,58.66811992
BBAJIO/O,Fuerte Venta,4629117,17.15,17.69850005,18.17720016,24.01500007,18.52038293,16.87661717,-0.26989433,-0.25221267,41.36298917
KIMBER/A,Fuerte Compra,3774852,36.740002,36.65650015,35.6912002,36.4501501,38.08680386,35.22619644,0.15455121,0.36055836,53.19737095
BIMBO/A,Comprar,3604861,42.080002,42.30100005,40.15420002,35.47335009,44.97344478,39.62855532,0.61024211,0.94610738,51.81684913
ALPEK/A,Vender,3397513,16.799999,17.43349985,17.55419988,16.20899996,18.91671682,15.95028288,-0.32903578,-0.18527476,42.12786668
VESTA,Fuerte Compra,3055515,32.900002,32.8324999,33.2901999,32.39654993,33.1676939,32.4973059,-0.0840452,-0.09666385,49.62539388
FEMSA/UBD,Fuerte Venta,2921944,127.55,130.2695005,133.9498014,155.45970055,134.91794716,125.62105384,-1.98515456,-1.89176746,39.1162164
GFINBUR/O,Vender,2767942,16.57,16.76900005,16.25220004,18.91890005,17.88015986,15.65784024,0.13822368,0.23459913,49.31161799
CUERVO,Fuerte Compra,2526807,42.799999,42.3239998,42.78679974,36.67095003,44.82322725,39.82477235,-0.36010305,-0.33973776,53.22262638
TLEVISA/CPO,Vender,2352923,27.41,28.8179999,26.15839996,32.59610004,31.32928321,26.30671659,0.20686734,0.55572755,48.91552381
LAB/B,Vender,2124468,22.290001,23.2720001,22.89159998,20.28464999,23.89578188,22.64821832,0.00767169,0.15953202,39.02692402
ORBIA,Fuerte Compra,1994376,36.77,37.05950005,35.3966001,36.59654999,38.59925961,35.51974049,0.228941,0.48807615,51.95674846
